Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Labels	Created
Déploiement	https://github.com/O-clock-Francfort/cines-delices/issues/23	Nathalie-Leduc	Todo			Back	2026-03-13T15:20:57Z
Vérifier si le média existe en base (via tmdb_id) et l’enregistrer s’il n’existe pas	https://github.com/O-clock-Francfort/cines-delices/issues/38	emilie-va	Todo				2026-03-15T08:31:15Z
Ajouter media_id lors de la création de recette et sauvegarder la recette	https://github.com/O-clock-Francfort/cines-delices/issues/39	emilie-va	Todo				2026-03-15T08:31:33Z
Tester l’ensemble : recherche TMDb, sélection média, sauvegarde média et création recette	https://github.com/O-clock-Francfort/cines-delices/issues/40	emilie-va	Todo				2026-03-15T08:31:53Z
Brancher le catalogue sur l’API	https://github.com/O-clock-Francfort/cines-delices/issues/49	vincentduverger-dev	Todo			Front	2026-03-16T07:25:17Z
Brancher la page détail recette sur l’API	https://github.com/O-clock-Francfort/cines-delices/issues/50	vincentduverger-dev	Todo			Front	2026-03-16T07:25:50Z
Adapter la recherche catalogue avec API	https://github.com/O-clock-Francfort/cines-delices/issues/51	vincentduverger-dev	Todo			Front	2026-03-16T07:26:10Z
Ajouter gestion états UX catalogue	https://github.com/O-clock-Francfort/cines-delices/issues/52	vincentduverger-dev	Todo			Front	2026-03-16T07:26:37Z
Jeudi : [ Fin ] Connexion API + Modales admin	https://github.com/O-clock-Francfort/cines-delices/issues/56	Hameni-A	Todo			API	2026-03-16T09:56:22Z
Route POST /recipes — création recette	https://github.com/O-clock-Francfort/cines-delices/issues/6	oriannejaunet	Todo			Back	2026-03-13T14:33:11Z
Brancher la page Profil sur GET /auth/me	https://github.com/O-clock-Francfort/cines-delices/issues/11	oriannejaunet	Todo			Back	2026-03-13T14:36:33Z
Corriger adminService.js	https://github.com/O-clock-Francfort/cines-delices/issues/128	emilie-va	Todo			CRITIQUE, Front, Lundi	2026-03-20T13:52:36Z
Vérif. collective — back fonctionnel / code c-05	https://github.com/O-clock-Francfort/cines-delices/issues/129		Todo			Back, CRITIQUE, Front, Lundi	2026-03-20T13:53:19Z
AuthContext + useAuth hook	https://github.com/O-clock-Francfort/cines-delices/issues/138	Nathalie-Leduc	Todo			CORRECTION, Front, Lundi	2026-03-20T16:46:03Z
Vérif Swagger sur Render / code sw-06	https://github.com/O-clock-Francfort/cines-delices/issues/161		Todo			Back, Jeudi, SWAGGER	2026-03-20T18:19:41Z
Docker	https://github.com/O-clock-Francfort/cines-delices/issues/24	Nathalie-Leduc	Todo			Back	2026-03-13T15:21:36Z
Auth controller--me	https://github.com/O-clock-Francfort/cines-delices/issues/25	Nathalie-Leduc	Todo			Back	2026-03-13T15:39:37Z
Définir le flux utilisateur : recherche média → sélection → création recette	https://github.com/O-clock-Francfort/cines-delices/issues/26	emilie-va	Todo				2026-03-15T08:24:02Z
Définir les données nécessaires à récupérer depuis TMDb (id_tmdb, title, poster_path, release_date)	https://github.com/O-clock-Francfort/cines-delices/issues/27	emilie-va	Todo				2026-03-15T08:24:55Z
Créer la structure UI du détail recette	https://github.com/O-clock-Francfort/cines-delices/issues/46	vincentduverger-dev	Todo			Front	2026-03-16T07:23:55Z
Créer la barre de recherche catalogue	https://github.com/O-clock-Francfort/cines-delices/issues/47	vincentduverger-dev	Todo			Front	2026-03-16T07:24:14Z
Créer un composant footer	https://github.com/O-clock-Francfort/cines-delices/issues/72	vincentduverger-dev	Todo				2026-03-17T06:51:22Z
Ajout Helmet	https://github.com/O-clock-Francfort/cines-delices/issues/92	Nathalie-Leduc	Todo				2026-03-18T10:16:02Z
Permettre la sélection d’un média et stocker le média choisi dans l’état	https://github.com/O-clock-Francfort/cines-delices/issues/37	emilie-va	In Progress				2026-03-15T08:31:01Z
Swagger	https://github.com/O-clock-Francfort/cines-delices/issues/21	Nathalie-Leduc	In Progress			Back, documentation	2026-03-13T15:19:50Z
Vendredi : Polish & cleanup	https://github.com/O-clock-Francfort/cines-delices/issues/58	Hameni-A, vincentduverger-dev	In Progress				2026-03-16T10:01:25Z
Tests Auth	https://github.com/O-clock-Francfort/cines-delices/issues/22	Nathalie-Leduc	Test			Back	2026-03-13T15:20:28Z
READ ME	https://github.com/O-clock-Francfort/cines-delices/issues/121	Hameni-A, oriannejaunet	PR				2026-03-19T12:03:52Z
Mercredi : Tables avec données mock +  [ Début ] Connexion API	https://github.com/O-clock-Francfort/cines-delices/issues/55	Hameni-A	PR			API, Front	2026-03-16T09:51:06Z
Gérer les erreurs de l’API et tester l’endpoint avec Postman	https://github.com/O-clock-Francfort/cines-delices/issues/32	emilie-va	Done				2026-03-15T08:27:11Z
page contact	https://github.com/O-clock-Francfort/cines-delices/issues/98	oriannejaunet	Done				2026-03-18T13:28:59Z
Mardi : Composants UI admin	https://github.com/O-clock-Francfort/cines-delices/issues/54	Hameni-A, oriannejaunet	Done				2026-03-16T09:47:46Z
Afficher les résultats (titre ) dans une liste déroulante	https://github.com/O-clock-Francfort/cines-delices/issues/36	emilie-va	Done				2026-03-15T08:30:42Z
Refacto css détails recettes	https://github.com/O-clock-Francfort/cines-delices/issues/116	vincentduverger-dev	Done			Front	2026-03-19T09:54:10Z
Shema Prisma+seed + errorMiddleware + tests auth	https://github.com/O-clock-Francfort/cines-delices/issues/119	Nathalie-Leduc	Done			Back	2026-03-19T11:17:49Z
Amélioration UI des cartes recopies	https://github.com/O-clock-Francfort/cines-delices/issues/97	vincentduverger-dev	Done			Front	2026-03-18T13:08:40Z
Créer la page détail recette (mock)	https://github.com/O-clock-Francfort/cines-delices/issues/45	vincentduverger-dev	Done			Front	2026-03-16T07:23:34Z
Complexifiation du MDP dans authValidator	https://github.com/O-clock-Francfort/cines-delices/issues/100	Nathalie-Leduc	Done			Back	2026-03-18T13:51:46Z
SLUG	https://github.com/O-clock-Francfort/cines-delices/issues/93	Nathalie-Leduc	Done			Back	2026-03-18T10:25:04Z
Ajouter un debounce pour limiter les appels API	https://github.com/O-clock-Francfort/cines-delices/issues/35	emilie-va	Done				2026-03-15T08:29:46Z
Brancher le formulaire création sur l'API réelle	https://github.com/O-clock-Francfort/cines-delices/issues/8	oriannejaunet	Done			Back	2026-03-13T14:34:28Z
Ajoute de card recipes pour test	https://github.com/O-clock-Francfort/cines-delices/issues/112	vincentduverger-dev	Done			Front	2026-03-19T08:13:15Z
Ajout Modal à l'envoie du message sur la page contact	https://github.com/O-clock-Francfort/cines-delices/issues/110	vincentduverger-dev	Done			Front	2026-03-19T08:01:00Z
Refacto de la page contact	https://github.com/O-clock-Francfort/cines-delices/issues/108	vincentduverger-dev	Done			Front	2026-03-19T07:25:54Z
Formulaire connexion/inscription	https://github.com/O-clock-Francfort/cines-delices/issues/87	oriannejaunet	Done				2026-03-18T08:28:47Z
refactoring connexion header	https://github.com/O-clock-Francfort/cines-delices/issues/114	vincentduverger-dev	Done	https://github.com/O-clock-Francfort/cines-delices/pull/115		Front	2026-03-19T09:14:10Z
Afficher les messages d'erreur API (champ manquant, non autorisé), message de succès après création	https://github.com/O-clock-Francfort/cines-delices/issues/80	oriannejaunet	Done				2026-03-17T12:53:13Z
Ajouter filtres catégorie dans le catalogue	https://github.com/O-clock-Francfort/cines-delices/issues/48	vincentduverger-dev	Done			Front	2026-03-16T07:24:33Z
Auth Controller/Middlewares d'authentification/Routes Auth/Validators/Express	https://github.com/O-clock-Francfort/cines-delices/issues/18	Nathalie-Leduc	Done			Back	2026-03-13T15:14:49Z
changement suite meeting	https://github.com/O-clock-Francfort/cines-delices/issues/89	oriannejaunet	Done				2026-03-18T09:02:38Z
Créer la carte recette (RecipeCard)	https://github.com/O-clock-Francfort/cines-delices/issues/44	vincentduverger-dev	Done			Front	2026-03-16T07:23:10Z
Ajouter le champ input et écouter la saisie utilisateur	https://github.com/O-clock-Francfort/cines-delices/issues/34	emilie-va	Done				2026-03-15T08:27:49Z
Créer le composant de recherche média	https://github.com/O-clock-Francfort/cines-delices/issues/33	emilie-va	Done				2026-03-15T08:27:34Z
Page mentions légales	https://github.com/O-clock-Francfort/cines-delices/issues/77	oriannejaunet	Done				2026-03-17T11:50:08Z